EventName,EventType,Country,City,ContinentCode,eventId,EventStatus,StartDate,EndDate,BallSponsor,TableSponsor
WTT Feeder Düsseldorf 2023,WTT Feeder,Germany,Düsseldorf,europe,2702,Completed,2023-02-14,2023-02-17,Double Fish,Donic
WTT Feeder Düsseldorf II 2023,WTT Feeder,Germany,Düsseldorf,europe,2703,Completed,2023-02-21,2023-02-24,Double Fish,Donic
WTT Star Contender Goa 2023,WTT Star Contender,India,Goa,asia,2696,Completed,2023-02-27,2023-03-05,DHS,Stag
Singapore Smash 2023,WTT Grand Smash,Singapore,Singapore,asia,2629,Completed,2023-03-07,2023-03-19,Double Fish,DHS
WTT Feeder Antalya 2023,WTT Feeder,Türkiye,Antalya,europe,2704,Completed,2023-03-27,2023-04-01,Double Fish,Butterfly
WTT Champions Xinxiang 2023 Presented by Industrial and Commercial Bank of China,WTT Champions,China,Xinxiang,asia,2737,Completed,2023-04-09,2023-04-15,DHS,Double Fish
WTT Champions Macao 2023 Presented by Galaxy Entertainment Group,WTT Champions,"Macao, China",Macao,asia,2728,Completed,2023-04-17,2023-04-23,Double Fish,DHS
WTT Star Contender Bangkok 2023,WTT Star Contender,Thailand,Bangkok,asia,2695,Completed,2023-04-23,2023-04-29,DHS,Joola
ITTF Africa Cup (May 2023),Continental Cups,Kenya,Nairob,africa,2745,Completed,2023-05-04,2023-05-06,,Butterfly
2023 ITTF World Table Tennis Championships Finals,World Championship,South Africa,Durban,africa,2660,Completed,2023-05-20,2023-05-28,Double Fish,DHS
WTT Contender Lagos 2023,WTT Contender,Nigeria,Lagos,africa,2693,Completed,2023-06-12,2023-06-18,DHS,Butterfly
WTT Contender Tunis 2023 Presented by KIA,WTT Contender,Tunisia,Tunis,africa,2691,Completed,2023-06-20,2023-06-25,DHS,Stag
WTT Contender Zagreb 2023,WTT Contender,Croatia,Zagreb,europe,2692,Completed,2023-06-26,2023-07-02,DHS,Tibhar
WTT Star Contender Ljubljana 2023 Presented by I Feel Slovenia,WTT Star Contender,Slovenia,Ljubljana,europe,2694,Completed,2023-07-03,2023-07-09,DHS,Tibhar
WTT Feeder Havirov 2023,WTT Feeder,Czechia,Havirov,europe,2750,Completed,2023-07-27,2023-07-30,Double Fish,Joola
WTT Contender Lima 2023,WTT Contender,Peru,Lima,americas,2721,Completed,2023-07-31,2023-08-06,DHS,Donic
WTT Contender Rio de Janeiro 2023,WTT Contender,Brazil,Rio De Janeiro,americas,2722,Completed,2023-08-07,2023-08-13,DHS,Tibhar
WTT Feeder Olomouc 2023,WTT Feeder,Czechia,Olomouc,europe,2724,Completed,2023-08-22,2023-08-27,Double Fish,Joola
WTT Feeder Panagyurishte 2023 presented by ASAREL ,WTT Feeder,Bulgaria,Panagyurishte,europe,2723,Completed,2023-08-29,2023-09-03,Double Fish,DHS
WTT Contender Almaty 2023,WTT Contender,Kazakhstan,Almaty,asia,2739,Completed,2023-08-29,2023-09-03,DHS,Butterfly
2023 ITTF-Oceania Olympic Team & Mixed Doubles Qualification,Olympic Games,Australia,,oceania,2717,Completed,2023-09-02,2023-09-03,,DHS
WTT Feeder Bangkok 2023,WTT Feeder,Thailand,Bangkok,asia,2740,Completed,2023-09-04,2023-09-09,Double Fish,Yinhe
2023 ITTF Pan American Championships,Continental Championships,Cuba,Havana,americas,2789,Completed,2023-09-10,2023-09-17,,Stag
2023 ITTF-Africa Senior Championships,Continental Championships,Tunisia,Rades,africa,2787,Completed,2023-09-11,2023-09-17,,Butterfly
WTT Star Contender Lanzhou 2023 Presented by Huanchen Sports,WTT Star Contender,China,Lanzhou,asia,2777,Completed,2023-10-02,2023-10-08,DHS,Stiga
WTT Feeder Stockholm 2023,WTT Feeder,Sweden,Stockhom,europe,2738,Completed,2023-10-02,2023-10-07,Double Fish,Stiga
WTT Contender Muscat 2023,WTT Contender,Oman,Muscat,asia,2775,Completed,2023-10-08,2023-10-14,DHS,Stag
WTT Contender Antalya 2023,WTT Contender,Türkiye,Antalya,europe,2742,Completed,2023-10-16,2023-10-22,DHS,Butterfly
WTT Feeder Doha II 2023,WTT Feeder,Qatar,Doha,asia,2734,Completed,2023-10-17,2023-10-19,Double Fish,Stag
WTT Champions Frankfurt 2023,WTT Champions,Germany,Frankfurt,europe,2705,Completed,2023-10-29,2023-11-05,DHS,Double Fish
WTT Feeder Otocec 2023 presented by I Feel Slovenia,WTT Feeder,Slovenia,Otocec,europe,2733,Completed,2023-10-30,2023-11-05,Double Fish,Tibhar
WTT Contender Taiyuan 2023,WTT Contender,China,Taiyuan,asia,2794,Completed,2023-11-07,2023-11-12,DHS,Stiga
WTT Feeder Vila Nova de Gaia 2023,WTT Feeder,Portugal,Vila Nova de Gaia,europe,2735,Completed,2023-11-22,2023-11-25,Double Fish,Butterfly
WTT Feeder Düsseldorf III 2023,WTT Feeder,Germany,Düsseldorf,europe,2755,Completed,2023-11-27,2023-12-01,Double Fish,Donic
ITTF Mixed Team World Cup 2023,World Mixed Team Championships,China,Chengdu,asia,2860,Completed,2023-12-04,2023-12-10,Ownwin,DHS
2023 Pacific Cup,Continental Cups,New Zealand,Hamilton,oceania,2905,Completed,2023-12-09,2023-12-10,,DHS
2023 ITTF-Oceania Cup,Continental Cups,New Zealand,Hamilton,oceania,2714,Completed,2023-12-09,2023-12-10,,DHS
WTT Feeder Biella 2023,WTT Feeder,Italy,Biella,europe,2732,Completed,2023-12-12,2023-12-17,Double Fish,Stag
WTT Finals Women Nagoya 2023,WTT Finals,Japan,Nagoya,asia,2776,Completed,2023-12-15,2023-12-17,DHS,Double Fish
WTT Finals Men Doha 2023,WTT Finals,Qatar,Doha,asia,2866,Completed,2024-01-03,2024-01-05,DHS,DHS
WTT Star Contender Doha 2024,WTT Star Contender,Qatar,Doha,asia,2862,Completed,2024-01-08,2024-01-13,DHS,DHS
WTT Contender Doha 2024,WTT Contender,Qatar,Doha,asia,2861,Completed,2024-01-14,2024-01-20,DHS,Yinhe
WTT Feeder Corpus Christi 2024,WTT Feeder,USA,Corpus Christi,americas,2878,Completed,2024-01-15,2024-01-18,Double Fish,Butterfly
WTT Star Contender Goa 2024,WTT Star Contender,India,Goa,asia,2863,Completed,2024-01-23,2024-01-28,DHS,Stiga
WTT Feeder Manchester 2024,WTT Feeder,England,Manchester,europe,2879,Completed,2024-02-01,2024-02-04,Double Fish,Butterfly
ITTF World Team Table Tennis Championships Finals Busan 2024 Presented by BNK Busan Bank,World Championship,Korea Republic,Busan,asia,2751,Completed,2024-02-16,2024-02-25,Butterfly,DHS
Singapore Smash 2024,WTT Grand Smash,Singapore,Singapore,asia,2904,Completed,2024-03-07,2024-03-17,Yinhe,DHS
WTT Feeder Beirut 2024,WTT Feeder,Lebanon,Beirut,asia,2893,Completed,2024-03-19,2024-03-21,Double Fish,Stag
WTT Feeder Beirut II 2024,WTT Feeder,Lebanon,Beirut,asia,2894,Completed,2024-03-22,2024-03-24,Double Fish,Stag
WTT Feeder Otocec 2024 Presented by I Feel Slovenia,WTT Feeder,Slovenia,Otocec,europe,2880,Completed,2024-03-26,2024-04-01,Double Fish,Tibhar
WTT Champions Incheon 2024 Presented by Shinhan Bank,WTT Champions,Korea Republic,Incheon,asia,2899,Completed,2024-03-27,2024-03-31,DHS,Double Fish
WTT Feeder Varazdin 2024,WTT Feeder,Croatia,Varaždin,europe,2882,Completed,2024-04-02,2024-04-07,Double Fish,Tibhar
WTT Feeder Düsseldorf 2024,WTT Feeder,Germany,Düsseldorf,europe,2881,Completed,2024-04-08,2024-04-12,Double Fish,Andro
WTT Feeder Havirov 2024,WTT Feeder,Czechia,Havirov,europe,2883,Completed,2024-04-14,2024-04-17,Double Fish,Joola
ITTF MEN'S AND WOMEN'S WORLD CUP MACAO 2024 PRESENTED BY GALAXY ENTERTAINMENT GROUP,World Cup,"Macao, China",Macao,asia,2937,Completed,2024-04-15,2024-04-21,,DHS
Saudi Smash 2024,WTT Grand Smash,Saudi Arabia,Jeddah,asia,2932,Completed,2024-05-01,2024-05-11,Double Fish,DHS
2024 ITTF-Oceania Olympic Singles Qualification,Olympic Qualification,New Caledonia,Noumea,oceania,2915,Completed,2024-05-10,2024-05-10,,Stag
2024 Pacific Cup,Continental Cups,New Caledonia,NOUMEA Nouvelle Calédonie,oceania,2959,Completed,2024-05-11,2024-05-12,,Stag
2024 ITTF-Oceania Cup,Continental Cups,New Caledonia,Noumea,oceania,2916,Completed,2024-05-11,2024-05-12,,Stag
WTT Feeder Cappadocia 2024,WTT Feeder,Türkiye,Cappadocia - Nevsehir,europe,2911,Completed,2024-05-13,2024-05-17,Double Fish,Butterfly
WTT Contender Rio de Janeiro 2024,WTT Contender,Brazil,Rio De Janeiro,americas,2867,Completed,2024-05-20,2024-05-26,DHS,Tibhar
WTT Contender Taiyuan 2024,WTT Contender,China,Taiyuan,asia,2865,Completed,2024-05-21,2024-05-26,DHS,Stiga
WTT Contender Mendoza 2024,WTT Contender,Argentina,Mendoza,americas,2934,Completed,2024-05-27,2024-06-02,DHS,Double Fish
WTT Champions Chongqing 2024 Presented by Changan,WTT Champions,China,Chongqing,asia,2941,Completed,2024-05-30,2024-06-03,Double Fish,DHS
WTT Contender Zagreb 2024,WTT Contender,Croatia,Zagreb,europe,2869,Completed,2024-06-03,2024-06-09,DHS,Tibhar
WTT Star Contender Ljubljana 2024 Presented by I Feel Slovenia,WTT Star Contender,Slovenia,Ljubljana,europe,2870,Completed,2024-06-11,2024-06-16,DHS,Tibhar
WTT Contender Lagos 2024,WTT Contender,Nigeria,Lagos,africa,2868,Completed,2024-06-19,2024-06-23,DHS,Butterfly
WTT Contender Tunis 2024 Presented by KIA,WTT Contender,Tunisia,Tunis,africa,2871,Completed,2024-06-25,2024-06-30,DHS,DHS
WTT Star Contender Bangkok 2024,WTT Star Contender,Thailand,Bangkok,asia,2900,Completed,2024-07-02,2024-07-07,DHS,Yinhe
Paris 2024 Olympic Games,Olympic Games,France,Paris,europe,2603,Completed,2024-07-26,2024-08-11,,DHS
WTT Feeder Olomouc 2024,WTT Feeder,Czechia,Olomouc,europe,2884,Completed,2024-08-21,2024-08-25,Double Fish,Joola
WTT Contender Lima 2024,WTT Contender,Peru,Lima,americas,2872,Completed,2024-08-21,2024-08-25,DHS,Donic
WTT Feeder Muscat 2024,WTT Feeder,Oman,Muscat,asia,2965,Completed,2024-08-29,2024-09-01,Double Fish,Stag
WTT Contender Almaty 2024,WTT Contender,Kazakhstan,Almaty,asia,2873,Completed,2024-09-03,2024-09-08,DHS,Butterfly
WTT Champions Macao 2024 Presented by Galaxy Entertainment Group,WTT Champions,"Macao, China",Macao,asia,2983,Completed,2024-09-09,2024-09-15,Double Fish,DHS
WTT Feeder Panagyurishte 2024 Presented by Asarel,WTT Feeder,Bulgaria,Panagyurishte,europe,2885,Completed,2024-09-11,2024-09-15,Double Fish,DHS
WTT Feeder Halmstad 2024,WTT Feeder,Sweden,Halmstad,europe,2886,Completed,2024-09-16,2024-09-21,Double Fish,Stiga
China Smash 2024 Presented by Zhonghui Life,WTT Grand Smash,China,Beijing,asia,2942,Completed,2024-09-26,2024-10-06,Double Fish,DHS
WTT Feeder Doha 2024,WTT Feeder,Qatar,Doha,asia,2887,Completed,2024-10-03,2024-10-06,Double Fish,Stag
ITTF-Oceania Senior Championships 2024,Continental Championships,New Zealand,"Auckland, 1023",oceania,2917,Completed,2024-10-15,2024-10-18,,Butterfly
WTT Champions Montpellier 2024,WTT Champions,France,Montpellier,europe,2940,Completed,2024-10-22,2024-10-27,Tibhar,Tibhar
WTT Feeder Cagliari 2024,WTT Feeder,Italy,Cagliari,europe,2889,Completed,2024-10-22,2024-10-27,Double Fish,Stag
WTT Contender Muscat 2024,WTT Contender,Oman,Muscat,asia,2997,Completed,2024-10-28,2024-11-02,DHS,Stag
WTT Feeder Prishtina 2024,WTT Feeder,Kosovo,Pristina,europe,2964,Completed,2024-10-30,2024-11-01,Double Fish,Stag
WTT Feeder Caracas 2024,WTT Feeder,Venezuela,Caracas,americas,2912,Completed,2024-10-31,2024-11-03,Double Fish,DHS
WTT Champions Frankfurt 2024,WTT Champions,Germany,Frankfurt,europe,2877,Completed,2024-11-03,2024-11-10,DHS,Double Fish
WTT Feeder Düsseldorf II 2024,WTT Feeder,Germany,Düsseldorf,europe,2890,Completed,2024-11-18,2024-11-22,Double Fish,Andro
WTT Finals Fukuoka 2024,WTT Finals,Japan,Kitakyushu,asia,2947,Completed,2024-11-20,2024-11-24,DHS,Double Fish
WTT Feeder Vila Nova de Gaia 2024,WTT Feeder,Portugal,Vila Nova de Gaia,europe,2891,Completed,2024-11-23,2024-11-27,Double Fish,Butterfly
ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,World Mixed Team Championships,China,Chengdu,asia,2979,Completed,2024-12-01,2024-12-08,Ownwin,DHS
WTT Star Contender Doha 2025,WTT Star Contender,Qatar,Doha,asia,3083,Completed,2025-01-06,2025-01-11,DHS,Stag
WTT Contender Muscat 2025,WTT Contender,Oman,Muscat,asia,3084,Completed,2025-01-11,2025-01-17,DHS,Stag
Singapore Smash 2025,WTT Grand Smash,Singapore,Singapore,asia,3085,Completed,2025-01-30,2025-02-09,Yinhe,DHS
WTT Feeder Doha 2025,WTT Feeder,Qatar,Doha,asia,3026,Completed,2025-02-04,2025-02-08,Yinhe,Stag
WTT Feeder Düsseldorf 2025,WTT Feeder,Germany,Düsseldorf,europe,3020,Completed,2025-02-11,2025-02-14,Yinhe,Donic
WTT Feeder Cappadocia 2025,WTT Feeder,Türkiye,Cappadocia - Nevsehir,europe,3030,Completed,2025-02-17,2025-02-21,Yinhe,Butterfly
WTT Champions Chongqing 2025 Presented by AITO,WTT Champions,China,Chongqing,asia,3086,Completed,2025-03-11,2025-03-16,Double Fish,DHS
WTT Star Contender Chennai 2025 Presented by IndianOil,WTT Star Contender,India,Chennai,asia,3133,Completed,2025-03-25,2025-03-30,DHS,Stiga
WTT Feeder Otocec 2025 Presented by I Feel Slovenia ,WTT Feeder,Slovenia,Otocec,europe,3024,Completed,2025-03-25,2025-03-29,Yinhe,Tibhar
WTT Feeder Otocec II 2025 Presented by I Feel Slovenia ,WTT Feeder,Slovenia,Otocec,europe,3025,Completed,2025-03-30,2025-04-03,Yinhe,Tibhar
WTT Champions Incheon 2025,WTT Champions,Korea Republic,Incheon,asia,3087,Completed,2025-04-01,2025-04-06,Yinhe,DHS
WTT Feeder Havirov 2025,WTT Feeder,Czechia,Havirov,europe,3069,Completed,2025-04-05,2025-04-09,Yinhe,Joola
WTT Contender Taiyuan 2025,WTT Contender,China,Taiyuan,asia,3088,Completed,2025-04-08,2025-04-13,DHS,Stiga
ITTF MEN'S AND WOMEN'S WORLD CUP MACAO 2025 PRESENTED BY GALAXY ENTERTAINMENT GROUP,World Cup,"Macao, China",,asia,3109,Completed,2025-04-14,2025-04-20,,DHS
WTT Contender Tunis 2025 Presented By Tunisie Telecom,WTT Contender,Tunisia,Tunis,africa,3089,Completed,2025-04-22,2025-04-27,DHS,Stag
WTT Feeder Manchester 2025,WTT Feeder,England,Manchester,europe,3023,Completed,2025-04-24,2025-04-27,Yinhe,Butterfly
ITTF World Table Tennis Championships Finals Doha 2025,World Championship,Qatar,Doha,asia,3108,Completed,2025-05-17,2025-05-25,Butterfly,DHS
WTT Feeder Prishtina 2025,WTT Feeder,Kosovo,Prishtina,europe,3058,Completed,2025-06-03,2025-06-07,Yinhe,Stag
WTT Contender Skopje 2025,WTT Contender,North Macedonia,Skopje,europe,3090,Completed,2025-06-09,2025-06-15,DHS,Tibhar
WTT Star Contender Ljubljana 2025 Presented by I Feel Slovenia,WTT Star Contender,Slovenia,Ljubljana,europe,3091,Completed,2025-06-17,2025-06-22,DHS,Tibhar
WTT Contender Zagreb 2025,WTT Contender,Croatia,Zagreb,europe,3092,Completed,2025-06-24,2025-06-29,DHS,Tibhar
United States Smash 2025,WTT Grand Smash,USA,Las Vegas,americas,3082,Completed,2025-07-03,2025-07-13,DHS,Joola
WTT Contender Buenos Aires 2025,WTT Contender,Argentina,Buenos Aires,americas,3175,Completed,2025-07-22,2025-07-27,DHS,Double Fish
WTT Contender Lagos 2025,WTT Contender,Nigeria,Lagos,africa,3121,Completed,2025-07-22,2025-07-26,DHS,Butterfly
WTT Star Contender Foz do Iguaçu 2025,WTT Star Contender,Brazil,Foz do Iguaçu,americas,3093,Completed,2025-07-30,2025-08-03,DHS,Tibhar
WTT Feeder Spokane 2025,WTT Feeder,USA,Spokane ,americas,3177,Completed,2025-08-05,2025-08-08,Double Fish,Butterfly
WTT Champions Yokohama 2025,WTT Champions,Japan,,asia,3094,Completed,2025-08-07,2025-08-11,Nittaku,Nittaku
WTT Feeder Spokane II 2025,WTT Feeder,USA,Spokane ,americas,3178,Completed,2025-08-09,2025-08-12,Double Fish,Butterfly
WTT Feeder Vientiane 2025 Presented by ICBC Bank,WTT Feeder,Laos,,asia,3131,Completed,2025-08-11,2025-08-15,Yinhe,Yinhe
Europe Smash - Sweden 2025,WTT Grand Smash,Sweden,Malmö,europe,3128,Completed,2025-08-14,2025-08-24,DHS,Double Fish
WTT Feeder Panagyurishte 2025 Presented by Asarel,WTT Feeder,Bulgaria,Panagyurishte,europe,3027,Completed,2025-08-21,2025-08-24,Yinhe,DHS
WTT Feeder Olomouc 2025,WTT Feeder,Czechia,Olomouc,europe,3028,Completed,2025-08-28,2025-08-31,Yinhe,Joola
WTT Contender Almaty 2025,WTT Contender,Kazakhstan,Almaty,asia,3096,Completed,2025-09-02,2025-09-07,DHS,Butterfly
WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,WTT Champions,"Macao, China",Macao,asia,3097,Completed,2025-09-09,2025-09-14,Double Fish,DHS
WTT Feeder Istanbul 2025,WTT Feeder,Türkiye,Istanbul,europe,3199,Completed,2025-09-11,2025-09-15,Yinhe,Stag
WTT Feeder Cappadocia II 2025,WTT Feeder,Türkiye,Cappadocia - Nevsehir,europe,3031,Completed,2025-09-16,2025-09-20,Yinhe,Butterfly
China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,WTT Grand Smash,China,Beijing,asia,3098,Completed,2025-09-25,2025-10-05,Double Fish,DHS
WTT Star Contender London 2025,WTT Star Contender,England,London,europe,3110,Completed,2025-10-21,2025-10-26,DHS,Donic
WTT Champions Montpellier 2025,WTT Champions,France,Montpellier,europe,3099,Completed,2025-10-28,2025-11-02,Tibhar,Tibhar
WTT Champions Frankfurt 2025,WTT Champions,Germany,Frankfurt,europe,3100,Ongoing,2025-11-04,2025-11-09,DHS,Donic
WTT Feeder Vila Nova de Gaia 2025,WTT Feeder,Portugal,Vila Nova de Gaia,europe,3066,Ongoing,2025-11-05,2025-11-09,,
